"Company Employee ZSize","Company Name","Job Function","Company NIC Code","Company SIC Code",Sautationl,"Prospect Country","Company Revenue","Company Technology","Company Industry","Company Country","Prospect Skill","Prospect City","Prospect Job Link","Prospect Company Link","Company Revenue Link","Prospect Zip","Prospect State","Company City","Company State","Prospect Address2","Prospect Address","Prospect F Name","Prospect M Name","Prospect L Name","Email ID","Job Title","Company Domain","Job Level","Office Ext","Prospect Office No.","Prospect Mobile","Company Zip",TAL,other_info_2,other_info_3,other_info_5,other_info_6,"Agent User ID","Agent Disposition time","Agent Disposition","Agent Sub Disposition","Quality User ID","Quality Disposition time"," Quality Disposition","Quality Sub Disposition",Status,isConsent,isWebVerified,dnc,"Quality Notes","Agent Notes",created_on,created_by,client_alias_id,"Leads id","Leads campaign_id","Leads prospect_id",CustomAnswer
"1-10 employees",2222,other1,,,Ms,india,100M,,other,,,2,22222,22,,2,india,2,,2222,madiyao,k,k,k,keshav.singh4@gmail.com2,kjkjhkj,,C-Level,222,2222,22222,,2,2,2,2,2,,,,,,,,,"Available Calling",0,0,0,,,"2022-09-27 23:02:03",2,1,820,56,1280,
"1-10 employees",5555,other1,,sic,Mr,india,revenue,222,other,,2222,lucknow,"https://sipjs.com/guides/server-configuration/asterisk/#:~:text=install%20asterisk&text=download%20asterisk%20with%20wget%20https,%2d%2dwith%2djansson%2dbundled%20.",55555,,226021,"uttar pradesh",lucknow,222,222,"shrinagar colony , madiyaon , lucknow",asas,kant,singh,keshav.singh44@gmail.com3,sdsd,,C-Level,22,22,8.09055e+11,2,2fsfdf,2sds,255,255,2jhj,,,,,,,,,"Available Calling",0,0,0,,,"2022-09-27 23:02:03",2,1,821,56,1281,
"1-10 employees",5555,other1,,sic,Mr,india,revenue,222,other,,2222,lucknow,2222,55555,,226021,"uttar pradesh",lucknow,222,222,"shrinagar colony , madiyaon , lucknow",fdsa,kant,singh,keshav.singh54@gmail.com5,sdsd,,C-Level,22,22,8.09055e+11,2,2,2,2,2,2,,,,,,,,,"Available Calling",0,0,0,,,"2022-09-27 23:02:03",2,1,822,56,1282,
employee,nOVLSCo0WX,,nic,,Mr,india,revenue,Nl9IKEWLBK,,,moLcPsaeAf,34UMXLMekZ,INKB8wlnIF,2egI9c7czB,,,FTzzef5EXb,34UMXLMekZ,DtiFc75XVr,FR8WBIHul9,tLTNdVeYa1,hh,,oENRdggtIq,EHeH1dIcbc@example.org,kIA6AnQ128,,,bERMlU3UGV,,,,Vbgt8WqxK8,lLs5cbCn2i,vs6Gn6DIeE,nFJ9BgLFLS,0JFXGn9vm7,2,,,,,,,,"Available Calling",0,0,0,,,"2020-10-11 10:00:59",2,,15,5,70,
,fSVPhy0qjw,other1,nic,sic,Ms,india,revenue,rfzMUIbYFK,,,WyKOz9NIFf,62crk69Kru,jFQoPy2nb3,AGmWvpgxc9,,,SM7mXBKNZV,62crk69Kru,w8ezkaGbcu,eFycuwQyQM,MCvK14T94v,jhggj,,hh,gYUBXr3JoT@example.org,XKk0z2a28B,,C-Level,3YGYeUHp7u,,,,gqocd6Jwsn,VO5rADZ6GA,1Ol7zh77tJ,pcdql0XNxb,xuNwkWnkXc,2,,,,,,,,"Available Calling",0,0,0,,,"2020-10-11 10:00:59",2,,16,5,71,
,lq6t9Tev58,other1,nic,,Mr,india,,BnGxKc5HWB,,,kBbkL2Q1F8,cTCU4E8s6J,oS1AcL7GhI,UtjMSz9u11,,,cD3andvKah,cTCU4E8s6J,fWG2CUxlX8,6dO5o9iwAb,IOD1AtDWRo,gg,,ff,mJWJRtt2r4@example.org,o0sNxvPcZh,,C-Level,3NGmmZdIfg,,,,vuvZSda4aZ,U2osnfRDuW,0dt79gm3Av,epMuglO8ZY,VQPmJS6fNt,2,,,,,,,,"Available Calling",0,0,0,,,"2020-10-11 10:00:59",2,,17,5,72,
employee,JHhGc5RiGA,other1,nic,sic,Ms,,revenue,G2cc4oSSkD,other,,IQWmj9vIEi,aQgn9qJXwt,5qkY8TGnQf,fN3x03YyWB,,,ZxqezYhgAM,aQgn9qJXwt,a1ihsvUjBj,ZKM5KZNoe4,m0xMD7eChi,dasdsa,,asdasdasd,cSu2soE6gs@example.org,8SuGM1GaXU,,C-Level,pmEkHphkA8,,8888,,Zq6xsLg3IX,iCbprjw6rr,iHODalB6po,6ka9Pj9Mow,IkdimXmwl6,2,,,,,,,,"Available Calling",0,0,0,,,"2020-10-11 10:01:00",2,,18,5,73,
,z6qv6ZgDFZ,other1,nic,sic,Dr,,,695KPQt4K2,other,,DPSBdlICbW,nXJIMgvUxm,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,UWsQvdT2dJ,,,iBC4xu6E7S,nXJIMgvUxm,zntVmgn7z3,1hVdFPKf2Y,GBysq3rcQM,sdsd,,oYEjlvCnmr,AiiMhD9u7W@example.orgd,Yb5FpCWyew,,Other,XOCGHs3ymU,,,,jkRVq2qeTJ,HMp4IMgrRj,I0FyzXX76s,9jnGb6Rldh,RcpHXfeqzL,2,,,,,,,,"Available Calling",0,0,0,,,"2020-10-11 10:01:00",2,,19,5,74,
"1-10 Employees",B5Ql9Oobfh,other1,nic,,Dr,,revenue,nz7V8xWdxP,other,,u3IIjAPmJ5,Wm3zTBGYtJ,https://www.google.com/search?q=gg&rlz=1C1RXQR_enIN1004IN1004&oq=gg&aqs=chrome..69i57j46i67i131i433j46i131i433i512j0i67i131i433j0i512j0i131i433i512j46i131i433i512j0i131i433i512j46i131i433i512j0i271.1084j0j7&sourceid=chrome&ie=UTF-8,sOmohfz6aO,,,tochlhBKYZ,Wm3zTBGYtJ,TcxJjLq2Go,gy1TU2nARA,CSEJC4sLB6,hghj,,ghjgj,dwEJENNgVP@example.org,iRPY3i5RIu,,C-Level,9X5yMOU2Cj,,,,Ls8ttVGKeh,DirM4lbLGJ,0NXsyTanI2,BYIfJpyIYf,WdBnFoOxCY,2,,,,,,,,Dailing,0,0,0,,,"2022-08-31 20:20:53",2,,803,56,1261,
employee,COAMwSJBIL,other1,,sic,Mr,,revenue,F1uOnMZQTH,other,,V8qZl6Ap1M,sfw3B2QlmM,y2RELcZFRe,By83mE6Wd0,,,DKiBAHjACo,sfw3B2QlmM,EN6qjv3YZR,8IH0CC5041,1dHHrwP5c9,jhkh,kkj,khkk,BYrd20Fw2t@example.org,D4577WPYPe,,,918090551004,,,,240zw7bEEC,jrR8svmJPn,z3pp3adYcr,jnA53vKPOJ,l7nsTznxQr,2,"2022-09-29 15:14:47",Verified,Web,,,,,Preqa,1,1,0,,,"2022-08-31 20:22:17",2,,804,56,1262,"2eUspgUMv5
Y4vd7p4V37"
